relation	pattern
hasAcademicAdvisor	whose work;
hasAcademicAdvisor	to work;
hasAcademicAdvisor	that work;
hasAcademicAdvisor	[[adj]] work [[con]];
hasAcademicAdvisor	done work;
hasAcademicAdvisor	to work as;
hasAcademicAdvisor	done work [[adj]];
hasAcademicAdvisor	work [[adj]];
hasAcademicAdvisor	[[con]] work;
hasAcademicAdvisor	[[prp]] work [[con]];
hasAcademicAdvisor	with work;
hasAcademicAdvisor	in work;
hasAcademicAdvisor	[[con]] work on;
hasAcademicAdvisor	s work with;
hasAcademicAdvisor	[[con]] work with;
hasAcademicAdvisor	to work among;
hasAcademicAdvisor	at work;
hasAcademicAdvisor	[[prp]] work on;
hasAcademicAdvisor	work to;
hasAcademicAdvisor	[[adj]] friends with [[adj]] members;
hasAcademicAdvisor	[[det]] work on;
hasAcademicAdvisor	[[mod]] work with;
hasAcademicAdvisor	found work as;
hasAcademicAdvisor	found work;
hasAcademicAdvisor	s work [[con]];
hasAcademicAdvisor	to work with;
hasAcademicAdvisor	[[det]] work of;
hasAcademicAdvisor	work [[con]];
hasAcademicAdvisor	[[adj]] direction of;
hasAcademicAdvisor	direction [[con]];
hasAcademicAdvisor	[[det]] direction;
hasAcademicAdvisor	[[det]] direction of;
hasAcademicAdvisor	under direction;
hasAcademicAdvisor	[[adj]] direction;
hasAcademicAdvisor	studied [[adj]] chemistry [[con]];
hasAcademicAdvisor	studied chemistry;
hasAcademicAdvisor	was influenced as;
hasAcademicAdvisor	have influenced in;
hasAcademicAdvisor	were influenced by;
hasAcademicAdvisor	influenced [[con]];
hasAcademicAdvisor	was influenced [[con]];
hasAcademicAdvisor	also influenced;
hasAcademicAdvisor	[[adj]] influenced by;
hasAcademicAdvisor	[[adj]] influenced;
hasAcademicAdvisor	[[con]] influenced;
hasAcademicAdvisor	also influenced as;
hasAcademicAdvisor	was influenced [[prp]];
hasAcademicAdvisor	was influenced by;
hasAcademicAdvisor	be influenced by;
hasAcademicAdvisor	also influenced by;
hasAcademicAdvisor	been influenced;
hasAcademicAdvisor	have influenced;
hasAcademicAdvisor	been influenced by;
hasAcademicAdvisor	was influenced in;
hasAcademicAdvisor	influenced as;
hasAcademicAdvisor	influenced [[det]];
hasAcademicAdvisor	is influenced as;
hasAcademicAdvisor	is influenced by;
hasAcademicAdvisor	influenced by;
hasAcademicAdvisor	was influenced;
hasAcademicAdvisor	were awarded by;
hasAcademicAdvisor	been awarded [[num]];
hasAcademicAdvisor	was awarded [[prp]];
hasAcademicAdvisor	was awarded with;
hasAcademicAdvisor	awarded [[pro]];
hasAcademicAdvisor	been awarded with;
hasAcademicAdvisor	was awarded;
hasAcademicAdvisor	[[con]] awarded;
hasAcademicAdvisor	was awarded as;
hasAcademicAdvisor	being awarded [[det]];
hasAcademicAdvisor	awarded to;
hasAcademicAdvisor	also awarded;
hasAcademicAdvisor	also awarded with;
hasAcademicAdvisor	which awarded;
hasAcademicAdvisor	[[num]] awarded;
hasAcademicAdvisor	was awarded [[num]];
hasAcademicAdvisor	is awarded by;
hasAcademicAdvisor	[[det]] graduate student;
hasAcademicAdvisor	[[det]] graduate student of;
hasAcademicAdvisor	[[det]] graduate where [[det]] student of;
hasAcademicAdvisor	[[det]] graduate [[con]] [[det]] student of;
hasAcademicAdvisor	as assistant;
hasAcademicAdvisor	became assistant [[con]];
hasAcademicAdvisor	[[con]] assistant;
